"model_name","id","AIC","horizon","pred","actual"
"9ni",4,-789.06140338856,60,0.27380432415476,0
"2i",4,-858.920168625106,80,-0.000129732926637175,0
"2ni",4,-1053.79818036903,80,-0.00229878265831374,0
"3i",4,-789.12425977716,80,0.00234247886213615,0
"3ni",4,-1068.57663884015,80,0.00580596126217445,0
"4i",4,-444.105966416221,80,-1.42080654560214e-08,0
"4ni",4,-630.968925225815,80,-2.89566440693598e-05,0
"9ni",4,-753.255968984018,80,-0.167568217702293,0
"2i",5,36.3824458905453,40,1.09411935471775e-19,0
"2ni",5,44.406369545129,40,2.42811150404362e-18,0
"3i",5,31.4924014698839,40,2.36533636314459e-19,0
"3ni",5,45.4349255190119,40,-0.00205974689643792,0
"4i",5,41.6090609607646,40,-0.00139994953104864,0
"4ni",5,48.5401448545386,40,0.00273685104783672,0
"9ni",5,105.224450034887,40,-0.0070944807654787,0
"2i",5,136.696476736982,60,1.59048472741277e-05,0
"2ni",5,140.562563225999,60,-1.24874781088679e-05,0
"3i",5,117.901281866681,60,-2.327513741521e-05,0
"3ni",5,118.965538017399,60,7.14754544157343e-05,0
"4i",5,104.831516591137,60,0.0033748532103481,0
"4ni",5,117.463035282127,60,9.10041110846762e-06,0
"9ni",5,150.117424995538,60,1.15239125996763e-05,0
"2i",5,168.436269888547,80,-4.36244328292418e-07,0
"2ni",5,173.776475162322,80,-3.07093299156289e-06,0
"3i",5,144.687411520567,80,3.84216959181984e-06,0
"3ni",5,145.87060158802,80,-2.35456940199871e-06,0
"4i",5,133.886966624866,80,0.000326838753496039,0
"4ni",5,147.308818116432,80,9.65017159356622e-06,0
"9ni",5,205.043423935026,80,0.000516544081964767,0
"2i",6,-207.112073374927,40,0.412032183234025,0
"2ni",6,-199.655696743224,40,0.436572734607139,0
"3i",6,-198.208645125174,40,0.447505080433221,0
"3ni",6,-214.560104346143,40,0.373265115907667,0
"4i",6,-198.877711875734,40,0.237626238472904,0
"4ni",6,-223.878733630707,40,0.188596876694887,0
"9ni",6,-155.5441646985,40,0.319439621055278,0
"2i",6,-136.796759465826,60,0.188717663458024,0
"2ni",6,-138.001173026187,60,0.205128361189759,0
"3i",6,-150.754066327747,60,0.0731616167889604,0
"3ni",6,-167.645013428188,60,0.200742625497844,0
"4i",6,-171.4621775991,60,0.0561092214829464,0
"4ni",6,-178.689990964901,60,0.0736089231958449,0
"9ni",6,-153.665830532473,60,0.0738979621456277,0
"2i",6,-173.202745819175,80,0.340757457654801,0
"2ni",6,-177.063530633288,80,0.342949051472129,0
"3i",6,-197.823365519739,80,0.411141480863137,0
"3ni",6,-208.668730091636,80,0.386871375345288,0
"4i",6,-233.402424560721,80,0.364878515579378,0
"4ni",6,-247.279372728233,80,0.354850270028604,0
"9ni",6,-175.805393768077,80,0.421156689071591,0
"2i",7,-421.307226230217,40,0.000796586505718637,0
"2ni",7,-423.872093886029,40,0.000311779122668125,0
"3i",7,-136.276684744426,40,3.05159277930386e-10,0
"3ni",7,-417.368612184889,40,-0.00207582848340017,0
"4i",7,-64.8421477628032,40,2.84501517239163e-12,0
"4ni",7,-406.772964071421,40,0.00011777656145624,0
"9ni",7,-341.15382894467,40,-2.33485036411052e-24,0
"2i",7,-145.664838602118,60,1.8857037690753e-07,0
"2ni",7,-149.615351067487,60,4.89403447203824e-05,0
"3i",7,-78.7573297131163,60,3.39080270683012e-09,0
"3ni",7,-92.1214529579848,60,4.2884134663926e-06,0
"4i",7,-15.5405745669093,60,6.60980801726348e-11,0
"4ni",7,-42.2246613392886,60,3.77166257548854e-07,0
"9ni",7,20.7226641552145,60,2.543389041003e-13,0
"2i",7,-275.580885914228,80,1.86417811851694e-09,0
"2ni",7,-287.61804352745,80,1.44030209805191e-06,0
"3i",7,-203.196152384846,80,1.24213871463278e-11,0
"3ni",7,-226.112270554837,80,4.68158646953049e-08,0
"4i",7,-137.1392881797,80,1.97158091505011e-13,0
"4ni",7,-173.76449428062,80,1.77217242998198e-09,0
"9ni",7,-71.5140718076188,80,9.11298776440492e-19,0
"2i",8,-59.1799684250661,40,0.280932225628626,0
"2ni",8,-62.5154655408798,40,0.281067537121395,0
"3i",8,-68.6069456962843,40,0.271069712439744,0
"3ni",8,-70.0268401561148,40,0.276354571871535,0
"4i",8,-58.1912140668206,40,0.193332277118116,0
"4ni",8,-60.7698185896971,40,0.115135155959684,0
"9ni",8,-3.89753465937513,40,0.0224029718312869,0
"2i",8,-158.527906763844,60,0.206994173878298,0
"2ni",8,-162.039341704356,60,0.206829423485267,0
"3i",8,-179.304944645412,60,0.188753844964566,0
"3ni",8,-177.260819025569,60,0.178018770632372,0
"4i",8,-186.20750760303,60,0.1610334007028,0
"4ni",8,-180.056322522353,60,0.149944100707212,0
"9ni",8,-68.0770537347467,60,0.184147658120797,0
"2i",8,-295.200664741241,80,0.174877784488583,0
"2ni",8,-298.545023558635,80,0.174452721803521,0
"3i",8,-333.17865637608,80,0.0922173876754961,0
"3ni",8,-326.496596588856,80,0.120797874870826,0
"4i",8,-343.250356108885,80,0.0825247633726371,0
"4ni",8,-347.219330930245,80,0.11390786125098,0
"9ni",8,-164.728710657862,80,0.0649691650730824,0
"2i",9,-253.843145233929,40,0.148211466719506,0
"2ni",9,-255.572002720408,40,0.148341785740951,0
"3i",9,-254.483155708948,40,0.452019745854555,0
"3ni",9,-257.721515378943,40,0.158105465232072,0
"4i",9,-242.331385399277,40,0.368005010133851,0
"4ni",9,-250.864176618636,40,0.143905730113274,0
"9ni",9,-170.794800129354,40,0.176240079348485,0
"2i",9,-428.270259459789,60,0.484795632848776,0
"2ni",9,-426.53318389606,60,0.424788723126342,0
"3i",9,-428.686894069861,60,0.553329150308646,0
"3ni",9,-431.477763206148,60,0.495113372106765,0
"4i",9,-412.117265270359,60,0.59923388079404,0
"4ni",9,-434.147357180203,60,0.500930455864672,0
"9ni",9,-102.060053794981,60,0.745589966046546,0
"2i",9,-566.203160517835,80,0.355149590587116,0
"2ni",9,-564.863292567887,80,0.355512146622586,0
"3i",9,-586.874374423133,80,0.378381946864398,0
"3ni",9,-591.519010248549,80,0.379904666711842,0
"4i",9,-561.476236663349,80,0.458674326862985,0
"4ni",9,-600.554240953553,80,0.367602737928611,0
"9ni",9,-407.269256296156,80,0.44778806054103,0
"2i",10,-436.983636538637,40,1.1782046033338,0
"2ni",10,-441.389372104045,40,1.19738012334757,0
"3i",10,-445.825308701025,40,1.79053768995502,0
"3ni",10,-399.88709635655,40,0.97488412484323,0
"4i",10,-300.171233466535,40,-0.158674649878352,0
"4ni",10,-393.087433893516,40,1.07641586938859,0
"9ni",10,-147.935978137608,40,0.988072682757551,0
"2i",10,-591.249133903744,60,0.803606377036826,1
"2ni",10,-595.139264689362,60,0.800402251087653,1
"3i",10,-577.681058625086,60,0.791534851053916,1
"3ni",10,-583.960685482741,60,0.797968789629066,1
"4i",10,-550.044724692912,60,0.869936137577489,1
"4ni",10,-584.420735478966,60,0.830276728095896,1
"9ni",10,-491.829581090267,60,0.813681403144481,1
"2i",10,-803.139204887959,80,0.845187531984905,0
"2ni",10,-806.986212388524,80,0.85116666621889,0
"3i",10,-795.050651833928,80,0.834982128235611,0
"3ni",10,-799.942577835302,80,0.882083337607149,0
"4i",10,-771.908094158071,80,0.82277923208307,0
"4ni",10,-754.515691871537,80,0.89048547990247,0
"9ni",10,-663.846217878885,80,0.852970638116018,0
"2i",11,-263.655144013804,40,0.119137118715156,0
"2ni",11,-248.948367616638,40,0.163296507371175,0
"3i",11,-247.910453373114,40,0.102257354026781,0
"3ni",11,-278.257866983262,40,0.17295287468807,0
"4i",11,-247.856116151049,40,0.0821205412554007,0
"4ni",11,-272.262700759273,40,0.128140343689144,0
"9ni",11,-19.4431301962935,40,0.0736483603305469,0
"2i",11,-324.353615327075,60,0.146616526407049,0
"2ni",11,-324.719936854049,60,0.156154760013032,0
"3i",11,-366.259713423552,60,0.116642989365061,0
"3ni",11,-373.671925299102,60,0.131265786810432,0
"4i",11,-371.847460038625,60,0.0490037289507049,0
"4ni",11,-379.951208790034,60,0.108113901243579,0
"9ni",11,-153.953736973185,60,0.106594370634157,0
"2i",11,-425.972938579594,80,0.0935367802229023,0
"2ni",11,-429.059128804103,80,0.0913638245087957,0
"3i",11,-517.595900759024,80,0.102537547371555,0
"3ni",11,-521.506531621776,80,0.0921413147665936,0
"4i",11,-518.08609733169,80,0.104618600754448,0
"4ni",11,-532.995236146917,80,0.0811007545275475,0
"9ni",11,-287.779317038291,80,0.0568754439813188,0
"2i",12,-549.484361231768,40,-0.000859244651975946,0
"2ni",12,-565.0315382176,40,-0.00216742023065625,0
"3i",12,-570.367509472519,40,-0.000210130675493895,0
"3ni",12,-579.524180168199,40,-4.14139043379494e-05,0
"4i",12,-565.379605758661,40,-0.00322042512727619,0
"4ni",12,-578.078351326771,40,4.12201532627048e-06,0
"9ni",12,-501.579514376521,40,-1.59460745749478e-21,0
"2i",12,-859.099418975886,60,-0.0008317164040977,0
"2ni",12,-861.959064367215,60,-0.00347056704375328,0
"3i",12,-859.623822132531,60,0.000511293729052067,0
"3ni",12,-868.141804577149,60,0.000119792199213554,0
"4i",12,-655.154747192353,60,1.30762226438733e-15,0
"4ni",12,-870.990999342228,60,-0.000366162715100912,0
"9ni",12,-784.812087061219,60,-1.48105129157304e-37,0
"2i",12,-1141.54955924394,80,-1.67494469047796e-08,0
"2ni",12,-1226.09829615701,80,-0.000159175977763201,0
"3i",12,-1176.67580752159,80,1.26372180719602e-08,0
"3ni",12,-1231.80128619361,80,0.00047843822950484,0
"4i",12,-1155.71641690761,80,1.02586011678761e-10,0
"4ni",12,-1240.71031248704,80,0.00246718111227633,0
"9ni",12,-1126.749615349,80,-1.16698490942694e-20,0
"2i",13,-675.011257607729,40,-3.58415832433615e-13,0
"2ni",13,-676.561777243188,40,-8.04407281312413e-11,0
"3i",13,-650.628302457955,40,-3.03926233316545e-13,0
"3ni",13,-654.059231587418,40,-2.21128429067545e-07,0
"4i",13,-659.20254401047,40,-1.86357122844087e-12,0
"4ni",13,-661.5891179862,40,-9.87324534074018e-07,0
"9ni",13,-279.877726078935,40,4.86476928665484e-45,0
"2i",13,-962.383981456241,60,0.00270629034718746,0
"2ni",13,-967.322859959085,60,0.0021161216627965,0
"3i",13,-994.36931362145,60,-0.00709106223218334,0
"3ni",13,-1024.34437265293,60,0.000498642273585839,0
"4i",13,-776.579231105913,60,-2.02342413521932e-10,0
"4ni",13,-1038.87255726058,60,-0.000476668847131402,0
"9ni",13,-953.875250255795,60,-1.62124517731665e-22,0
"2i",13,-1061.61442623403,80,-0.00316691106164665,0
"2ni",13,-1129.08992929882,80,-0.00122272465306282,0
"3i",13,-1180.27766110275,80,-0.000692587937989778,0
"3ni",13,-1197.79783838802,80,0.000203940718360041,0
"4i",13,-1138.94277053607,80,-2.74173298289062e-06,0
"4ni",13,-1206.04320859469,80,-0.00289173910948943,0
"9ni",13,-1132.20248378603,80,-0.000926967366447796,0
"2i",14,-160.363308494472,40,0.0808555129848802,0
"2ni",14,-164.327702657593,40,0.0801404548634373,0
"3i",14,-159.652898502157,40,0.0505815035800758,0
"3ni",14,-168.920447685395,40,0.0575841049632628,0
"4i",14,-151.160686356065,40,0.102583400425038,0
"4ni",14,-158.560851384168,40,0.0380152619801971,0
"9ni",14,-84.0990511265018,40,0.0731529661875507,0
"2i",14,-259.732131922971,60,0.0160223228255593,0
"2ni",14,-263.498587411105,60,0.0136847345599511,0
"3i",14,-275.495044927465,60,0.0388714891608745,0
"3ni",14,-275.400449570702,60,0.0327176253584851,0
"4i",14,-261.403471590675,60,0.0150009018409982,0
"4ni",14,-274.002162381337,60,0.0272633680858415,0
"9ni",14,-107.510304725442,60,-0.0450476039865873,0
"2i",14,-434.008610670128,80,0.0271073756888928,0
"2ni",14,-437.715119609159,80,0.0267371867532775,0
"3i",14,-452.362603687177,80,0.0272280987155686,0
"3ni",14,-451.777126417055,80,0.026083860018032,0
"4i",14,-446.900113511993,80,-0.00310639743893705,0
"4ni",14,-454.549238009128,80,0.0358947969161677,0
"9ni",14,-326.025449611802,80,0.0204040432446383,0
"2i",15,12.5639386612254,40,0.142170636223917,0
"2ni",15,11.0960256825581,40,0.163279118760058,0
"3i",15,22.0222944469929,40,0.151409991137508,0
"3ni",15,15.0351284437849,40,0.100731772102213,0
"4i",15,85.1337599273494,40,0.199966258077758,0
"4ni",15,11.1508614277225,40,0.149197743307882,0
"9ni",15,52.8383004969263,40,0.19108885112573,0
"2i",15,-59.5384232851021,60,0.0750572251113755,0
"2ni",15,-32.0485986315933,60,0.0848580053687898,0
"3i",15,-63.4579352815533,60,0.0769067526773095,0
"3ni",15,-62.0744912865603,60,0.08159455569575,0
"4i",15,-27.1447782397202,60,0.0773904421982922,0
"4ni",15,-83.3448251046864,60,0.0775037442314876,0
"9ni",15,-10.3121649400993,60,0.0966066763388725,0
"2i",15,-128.482351352343,80,0.111260946205654,0
"2ni",15,-131.013493034655,80,0.112023685738068,0
"3i",15,-127.154874420094,80,0.132289187040112,0
"3ni",15,-136.415895717186,80,0.114777730160687,0
"4i",15,-134.175358365103,80,0.170735532886958,0
"4ni",15,-158.941169050938,80,0.17327749554384,0
"9ni",15,-91.2412079403553,80,0.21971432138915,0
"2i",16,-489.955986544777,40,-0.0047516673867576,0
"2ni",16,-493.890738123839,40,0.000119893860107212,0
"3i",16,-447.56708713566,40,-0.00133357844288454,0
