window,width,fold_id,rs_id,ssm,lr,xgb
0,45,4,14,0.3312722515070481,0.4089297925473916,0.29497798377462525
0,45,0,15,0.41232376918696184,0.45790943573183657,0.4212009411796007
0,45,1,15,0.2947203552786606,0.32227500981400703,0.2795276705796738
0,45,2,15,0.45768265021593785,0.46547440690098857,0.3834205607821813
0,45,3,15,0.5649908672576729,0.4729783311581044,0.4274299491804998
0,45,4,15,0.13708064035524925,0.08623098574452405,0.10031301689645865
0,45,0,1,0.14929980188100447,0.18348505070545634,0.17631120261733063
0,45,1,1,0.5170619210149167,0.5676662885645685,0.39010657627080025
0,45,2,1,0.31445002617018586,0.38093986803830293,0.3573474045970602
0,45,3,1,0.3007036500469171,0.3595824446150985,0.28636612505337444
0,45,4,1,0.533582636619526,0.38152657422054254,0.33330686781027197
0,45,0,2,0.22688152637113215,0.2950919678858666,0.23074732625393304
0,45,1,2,0.3108581546340981,0.36623682581948147,0.3245163811779222
0,45,2,2,0.5521162834953224,0.42943932143088026,0.4138310762097886
0,45,3,2,0.5149997285999823,0.5351005285853698,0.33584124242102004
0,45,4,2,0.33065898450325,0.40493263315642863,0.3043836758672822
0,45,0,3,0.551450057761538,0.42010351851799943,0.3151927791009108
0,45,1,3,0.4826271719621082,0.49737035293119625,0.4762689873080784
0,45,2,3,0.20549897119899288,0.21314110339189063,0.19725848972956445
0,45,3,3,0.35549632047510743,0.4254179400734434,0.389539641805588
0,45,4,3,0.41611813778095424,0.4293344678625858,0.30062478390204234
0,45,0,4,0.5415230966461209,0.3851572829388017,0.2720407934669485
0,45,1,4,0.4694681347934011,0.47689338484828553,0.45712633024001054
0,45,2,4,0.4111742389581456,0.499098330150304,0.42178647700244876
0,45,3,4,0.265027789774174,0.29689043137053955,0.2575410832651046
0,45,4,4,0.2918731179585783,0.3810515152713399,0.25100507848775633
0,45,0,5,0.2711069957306288,0.34421888901088904,0.29454251707762547
0,45,1,5,0.4443776041625498,0.46602181977046414,0.47501599497835467
0,45,2,5,0.5514675386711817,0.39359551303033885,0.3727378118378738
0,45,3,5,0.51349772901616,0.5657589796269848,0.42689683045859744
0,45,4,5,0.292980222058655,0.35524811056410593,0.34166135747979093
0,45,0,6,0.5861637331296892,0.5859581066419667,0.2899903031858795
0,45,1,6,0.31065185397796247,0.3626067047265117,0.37389850962600135
0,45,2,6,0.29616761059968705,0.36724510244290953,0.33764333343485947
0,45,3,6,0.2944308749482208,0.4270588654850138,0.2690690143458557
0,45,4,6,0.26668855432632754,0.3371772184840518,0.2911643293581288
0,45,0,7,0.16374927385546972,0.19235960647989608,0.17849548894832198
0,45,1,7,0.30351223304055275,0.4131679816312486,0.2537058176966375
0,45,2,7,0.41965978816939037,0.45344648593909853,0.4913900912959452
0,45,3,7,0.4409851105009979,0.3820385668754932,0.3557822813397577
0,45,4,7,0.5395630881155629,0.43964519559851106,0.3557761150943462
0,45,0,8,0.29508856960397534,0.3442417721848347,0.3113480882906141
0,45,1,8,0.32436740469549996,0.41859606532890087,0.3258087780787707
0,45,2,8,0.25195559636546233,0.34319290040709394,0.29907428152257826
0,45,3,8,0.535229048876692,0.5128613601259778,0.2951268682028184
0,45,4,8,0.5088046877056591,0.4277071695995961,0.4024667792514335
0,45,0,9,0.21477667582541038,0.20912337735059508,0.23478082058947455
0,45,1,9,0.5551172008452869,0.5405587019145586,0.4996105513448775
0,45,2,9,0.4487389827098564,0.4632906185100784,0.3714731155265486
0,45,3,9,0.3322064759119224,0.42406015406132164,0.37245633531632427
0,45,4,9,0.32602845374352574,0.37080169195174073,0.2371793253179908
0,60,0,10,0.6107717008167399,0.3793376591371817,0.3935821560182048
0,60,1,10,0.3138758745953134,0.29290241285964264,0.21903329604776686
0,60,2,10,0.1698834962480509,0.17629716084397806,0.16526853191728644
0,60,3,10,0.5806405718637846,0.614648071681708,0.5022268969866566
0,60,4,10,0.28363160510949165,0.38417303008969333,0.3729069499943235
0,60,0,11,0.3153765369974779,0.41687775128710475,0.38872094274677493
0,60,1,11,0.3590677246369981,0.3217070843286774,0.21829046986987208
0,60,2,11,0.5938994425907789,0.49892603312869765,0.5194484313619997
0,60,3,11,0.5714595727196005,0.5281182397045973,0.471329768155972
0,60,4,11,0.4687333475575579,0.41445361456195384,0.3669973917501993
0,60,0,12,0.36608284823020826,0.43387526744059096,0.39036107605133014
0,60,1,12,0.25170340466203656,0.2993319404485606,0.26292968108511516
0,60,2,12,0.5645424745182817,0.5677473554121539,0.2290340372875394
0,60,3,12,0.38229006019184786,0.4272788310822299,0.3744158183889476
0,60,4,12,0.5986295108364567,0.5613424012657666,0.5323874128275418
0,60,0,13,0.3427803449513217,0.23113843756417943,0.24661729758276846
0,60,1,13,0.3579798638652137,0.39198671749831815,0.3105115806347086
0,60,2,13,0.6800755481857902,0.6992835258253606,0.5220359409253686
0,60,3,13,0.6548394441187728,0.44908625485847536,0.31097931785519006
0,60,4,13,0.36672240146834467,0.379869892018697,0.36511422884381217
0,60,0,14,0.4536754210902997,0.4178371950753519,0.37483233264705407
0,60,1,14,0.3727056542892259,0.4339144009754313,0.35412580989890124
0,60,2,14,0.6564415746045382,0.5262201433232488,0.41495929976421525
0,60,3,14,0.23600522354179976,0.23008984301081045,0.25856127303379794
0,60,4,14,0.4560466689600469,0.4331191933749631,0.2989632908720899
0,60,0,15,0.482154225847967,0.5246245662971141,0.44918691854400206
0,60,1,15,0.34680595561353383,0.3163461960236773,0.29001417926181705
0,60,2,15,0.6091517249294072,0.49871489149972403,0.42265538755366233
0,60,3,15,0.5371938741913362,0.4014343457969101,0.36024598435236954
0,60,4,15,0.09598756904169461,0.08679189839234107,0.1070131655973926
0,60,0,1,0.13514158826049133,0.1891708587599607,0.18083410681298318
0,60,1,1,0.6017461289108694,0.5512038756895712,0.40120998492539445
0,60,2,1,0.32888485356521274,0.32733626388344667,0.3199364438300494
0,60,3,1,0.4116353747560651,0.4548041663475936,0.3315778541704056
0,60,4,1,0.5411816543318715,0.4179192425758499,0.3266173591477899
0,60,0,2,0.3634611317942591,0.32206414665119254,0.21330373657056126
0,60,1,2,0.3423410437061018,0.3776372038558112,0.3218794571205479
0,60,2,2,0.5578118867854248,0.47814294932869,0.44979250681617
0,60,3,2,0.5964750451590167,0.5328837807504302,0.3268100591968267
0,60,4,2,0.41490795596509317,0.3895692231426097,0.3121504841152697
0,60,0,3,0.5737436031341144,0.42132830280918254,0.23671539410008965
0,60,1,3,0.6039408967567542,0.5638652063034411,0.5765548007911603
0,60,2,3,0.2284975282274554,0.23984231093006417,0.2191669401735924
0,60,3,3,0.420873785578907,0.4005509746673415,0.3528259688954573
0,60,4,3,0.5135283449605068,0.43349593634335487,0.3243502997362721
0,60,0,4,0.5211888703236944,0.3769690049717781,0.25322095114155563
0,60,1,4,0.575913200404525,0.4849624433260737,0.49251379573169296
0,60,2,4,0.48623518285059564,0.5035139427309536,0.45177713827107074
0,60,3,4,0.303890942858559,0.34844025314334004,0.32779640705381596
0,60,4,4,0.3230081119368882,0.4325809755191186,0.27559939275438766
0,60,0,5,0.406732204834017,0.3532800678157959,0.25469018451201825
0,60,1,5,0.5527031477547932,0.5546980895078927,0.5312735512616432
0,60,2,5,0.5418500315708381,0.3661054347815099,0.3443698661657827
0,60,3,5,0.5635848517223537,0.5792361840593919,0.4275650969458978
0,60,4,5,0.32301788220683764,0.3707125558327316,0.3681772822503105
0,60,0,6,0.6969168494303296,0.6181703742319805,0.3538959725072972
0,60,1,6,0.3092662706998631,0.32292201137887605,0.31728117737487765
0,60,2,6,0.29105603821536064,0.3348453216286931,0.35039508778724154
0,60,3,6,0.3748621590212307,0.48780204656472087,0.2903211839899255
0,60,4,6,0.3152202372164263,0.36733723754915165,0.3023827053372955
0,60,0,7,0.15655843482799356,0.12133632793970067,0.10927364669520123
0,60,1,7,0.4183415611354233,0.5206968903444139,0.23465798828606735
0,60,2,7,0.5090368756750013,0.4671494527190047,0.5286223700386503
0,60,3,7,0.545497264926112,0.44467531051190323,0.4238453443084456
0,60,4,7,0.5559484179654298,0.4317425328757898,0.32397978434308417
0,60,0,8,0.31501247717386055,0.3067334156785955,0.26846009470695537
0,60,1,8,0.46906323903909797,0.43550213161219,0.31695477606607814
0,60,2,8,0.2863496541973613,0.3655574894582431,0.3172967579634105
0,60,3,8,0.6228612410220479,0.5683566400719258,0.3707448867500415
0,60,4,8,0.5669324698159458,0.44496069646976427,0.4036375458931278
0,60,0,9,0.27129728138274023,0.254360466686254,0.286758836601348
0,60,1,9,0.640543193565956,0.5468823527726087,0.5395527099224791
0,60,2,9,0.5702260359921175,0.4959016608230249,0.42339019642833736
0,60,3,9,0.3946876821721609,0.4130392716600206,0.33616992745886803
0,60,4,9,0.3235478078970186,0.40729955955011216,0.26334502134659926
0,75,0,10,0.5870281623000712,0.4475594856272123,0.46653931745218974
0,75,1,10,0.2349732236247173,0.34462825754222975,0.2750225302210942
0,75,2,10,0.28187477726951415,0.3245048478930107,0.37288105910940395
0,75,3,10,0.5715066496445439,0.5691943279040246,0.5092270910650257
0,75,4,10,0.3392750847319213,0.4246200966253813,0.38084997236724183
0,75,0,11,0.41492179773264704,0.489647481271623,0.47172215369689047
0,75,1,11,0.3573843573862852,0.34417647048774286,0.21743704319184676
0,75,2,11,0.6101531710882352,0.5458735230476714,0.4942881525182768
0,75,3,11,0.5154033280059186,0.4204447092103236,0.38705792194949695
0,75,4,11,0.5127333290696359,0.5231752473377023,0.4282783431053425
0,75,0,12,0.41631708279710955,0.444514599807322,0.4024863266724371
0,75,1,12,0.3465302289060855,0.3556720756701419,0.3198750302863663
0,75,2,12,0.4772981056828894,0.449693514450947,0.20313443650886887
0,75,3,12,0.5285466164514347,0.4901616799457038,0.37692578295549356
0,75,4,12,0.5618367708180108,0.6020140166220739,0.6240244372134
0,75,0,13,0.2575371156462899,0.28471675885455117,0.26273046841457437
0,75,1,13,0.3959637775208089,0.45214387482233326,0.36049813686821924
0,75,2,13,0.6730726310167507,0.7044748157319022,0.46495112378506037
0,75,3,13,0.6198987664841937,0.46058244284432587,0.2580486696506315
0,75,4,13,0.36071156160977735,0.40441550919367125,0.3959675259008891
0,75,0,14,0.4159795885556453,0.4587291731725047,0.352681836916785
0,75,1,14,0.45974362599358315,0.37841460862729415,0.2921760982321251
0,75,2,14,0.6018726168240056,0.5320621517027034,0.39303241497949404
0,75,3,14,0.2917671561833326,0.2378595368330056,0.24914403633733703
0,75,4,14,0.5936507394182291,0.6166427228347174,0.43150129465917864
0,75,0,15,0.45687954587292323,0.5052801302964252,0.4500975550696141
0,75,1,15,0.3522876501904703,0.3912492318737718,0.36805510588042845
0,75,2,15,0.6091675984581431,0.5501094780874063,0.45283505118720024
0,75,3,15,0.6013269226980354,0.4117221372066415,0.37130853295630223
0,75,4,15,0.08036123970115328,0.1525770706411893,0.14649133904963896
0,75,0,1,0.21676521811327812,0.2986539436979732,0.16493342493642482
0,75,1,1,0.5575126653031471,0.5379252814047522,0.4550540050629586
0,75,2,1,0.40217075286919857,0.4314777776896418,0.43565438043574145
0,75,3,1,0.5046250847748097,0.4583736786833836,0.3869748179701163
0,75,4,1,0.5043950345694537,0.37800321902079387,0.3741422547810049
0,75,0,2,0.4658464190519157,0.48692931576224446,0.3115200127433127
0,75,1,2,0.41209129859913446,0.3864531163208159,0.3444033045010575
0,75,2,2,0.5377772501642774,0.4791140352964167,0.40793275633831827
0,75,3,2,0.5631244375472209,0.5490079395135962,0.3956301563510787
0,75,4,2,0.4395139093335715,0.41500819965166186,0.3277307383172662
0,75,0,3,0.5090718682193475,0.3534369671085168,0.2615380280846393
0,75,1,3,0.6150887086417751,0.47482907971827576,0.5517514347642469
0,75,2,3,0.3151176408328689,0.31358242300346945,0.24867145100240132
0,75,3,3,0.5569039933436305,0.5887749857526582,0.4973221243192585
0,75,4,3,0.4474479928926797,0.4536521542077911,0.34768680916479555
0,75,0,4,0.4909008551552037,0.4298035006181139,0.29810867450441414
0,75,1,4,0.5716826976139102,0.5071569277224778,0.46378234258834766
0,75,2,4,0.5509796981441377,0.5758589250469494,0.5041699567070117
0,75,3,4,0.3319065832884067,0.3262590796279484,0.3057937746321895
0,75,4,4,0.3763767714281478,0.440493453158678,0.30535213927741367
0,75,0,5,0.5258485705820026,0.46756838339098583,0.28353398372431615
0,75,1,5,0.5065349538449971,0.5631101987849322,0.5684171176168681
0,75,2,5,0.5255745794181528,0.41608731481382977,0.4087036206383508
0,75,3,5,0.5660443406340594,0.6115657976805623,0.32996268379988336
0,75,4,5,0.3725415446444479,0.39017894064881964,0.39491380176128765
0,75,0,6,0.6194373203253525,0.5450276537403613,0.3012301333676717
0,75,1,6,0.393966458556511,0.5203541770493355,0.4975173182327367
0,75,2,6,0.40959598752774234,0.4127456503931911,0.45950343628116314
0,75,3,6,0.5169499471028914,0.5008978588004749,0.32710705830621994
0,75,4,6,0.34461837541519313,0.30696679994178294,0.24887877793281396
0,75,0,7,0.3116051868074213,0.17241626482150446,0.1392002043587408
0,75,1,7,0.5540141432431709,0.6060306355882095,0.37403788910888297
0,75,2,7,0.43870448663388795,0.43350064892752105,0.4838246279037423
0,75,3,7,0.48749229748367073,0.433504298838779,0.3931302692629044
0,75,4,7,0.5678251698156653,0.4800501971292371,0.4017313941915019
0,75,0,8,0.37445773442499963,0.4712831420297483,0.34842567183392403
0,75,1,8,0.5023585347811304,0.5485422137538101,0.38367591222203173
0,75,2,8,0.3573879398860118,0.3339147308060061,0.316840892305824
0,75,3,8,0.6051459582203244,0.4158338645362454,0.3012048949407716
0,75,4,8,0.5109072767527009,0.466452311189002,0.45457377085951167
0,75,0,9,0.2445434275801793,0.29463448425092714,0.3096723835175705
0,75,1,9,0.6012197285413524,0.4798753658003826,0.4817878663455403
0,75,2,9,0.5564177208974256,0.5442022223597934,0.4904179162981508
0,75,3,9,0.5209736317703119,0.5381464940092116,0.479992974084191
0,75,4,9,0.33258024185346174,0.2818326575778794,0.2073407262170866
3,15,0,10,0.6897712800697685,0.6178748515454463,0.6807392812904683
3,15,1,10,0.5026231299286907,0.5318592335245125,0.515434535932719
3,15,2,10,0.4902117875921893,0.5318872174526713,0.5345037508187928
